Company Name,Company Name for Emails,# Employees,Website,Company City,Company State,Company Postal Code,Company Address,Company Phone,Apollo Record Id,NAICS Codes,Subsidiary of,Subsidiary of (Organization ID),Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Prerequisite: Determine Research Guidelines,Qualify Account,Prerequisite: Research Target Company
Hopkin Murray Beskine,Hopkin Murray Beskine,25,http://www.hmbsolicitors.co.uk,London,,,"London, United Kingdom",'+44 20 7272 1234,6791fe453a6bfd0001a50fb3,541110,,,,,,,,,
Hutchins & Co,Hutchins,31,http://www.hutchinslaw.co.uk,London,,,"London, United Kingdom",'+44 20 8986 3911,6791fe453a6bfd0001a50fbf,,,,,,,,,,
Powell Spencer and Partners,Powell Spencer and,36,http://www.psplaw.co.uk,London,,,"London, United Kingdom",'+44 20 7604 5600,6791fe6ead37a3000152307d,541110,,,,,,,,,
Harpers,Harpers,30,http://www.harperslegal.com,London,England,WC1X 8,"75 Gray's Inn Road, London, England, United Kingdom, WC1X 8",'+44 20 7405 8888,6791fe6ead37a3000152308a,,,,,,,,,,
Maurice Turnor Gardner LLP,Maurice Turnor Gardner,64,http://www.mauriceturnorgardner.com,London,England,EC2Y 9BH,"Milton Street, London, England, United Kingdom, EC2Y 9BH",'+44 20 7786 8711,687fa8136ef4650001c3682c,541110,,,,,,,,,
New Quadrant - Private Office,New Quadrant,29,http://www.newquadrantpartners.com,London,England,SW1Y 6AL,"25 Bury Street, London, England, United Kingdom, SW1Y 6AL",'+44 20 7430 7150,687fa8136ef4650001c36832,54111,,,,,,,,,
Edwards Duthie Shamash Solicitors,Edwards Duthie Shamash Solicitors,88,http://www.edwardsduthieshamash.co.uk,London,England,E15 4BQ,"37 Broadway, London, England, United Kingdom, E15 4BQ",'+44 20 7803 3999,687fa8146ef4650001c368c4,54111,,,,,,,,,
Hannaford Turner LLP,Hannaford Turner,24,http://www.hannafordturner.com,London,England,EC2V 6DN,"107 Cheapside, London, England, United Kingdom, EC2V 6DN",'+44 20 3693 9500,687fa8146ef4650001c368e3,541110,,,,,,,,,
Fenchurch Law,Fenchurch Law,35,http://www.fenchurchlaw.com,London,England,EC3M 7AW,"40 Lime Street, London, England, United Kingdom, EC3M 7AW",'+44 20 3058 3070,687fa8146ef4650001c368da,54111,,,,,,,,,
Kingsley Wood,Kingsley Wood,46,http://www.kingsley-wood.com,London,England,EC4V 5EQ,"69 Carter Lane, London, England, United Kingdom, EC4V 5EQ",'+44 20 3551 8042,687fa8146ef4650001c368d5,541110,AIIC Group (aiic-group.com),64180c487268350105e8cdb2,,,,,,,
Druces LLP,Druces,95,http://www.druces.com,London,England,EC2M 7AQ,"29 Finsbury Circus, London, England, United Kingdom, EC2M 7AQ",'+44 20 7638 9271,687fa839cf702a0001dc229f,54111,,,,,,,,,
Temple Bright LLP,Temple Bright,84,http://www.templebright.com,London,England,EC2A 3AY,"81 Rivington Street, London, England, United Kingdom, EC2A 3AY",'+44 117 325 2101,687fa8577a1d900001dcc465,541110,,,,,,,,,
Thomas More Chambers,Thomas More Chambers,72,http://www.thomasmore.co.uk,London,England,WC2A 3BP,"7 Lincoln's Inn Fields, London, England, United Kingdom, WC2A 3BP",'+44 20 7404 7000,687fa8577a1d900001dcc466,54111,,,,,,,,,
Grant Saw Solicitors LLP,Grant Saw Solicitors,68,http://www.grantsaw.com,London,England,SE3 0,"Tranquil Passage, London, England, United Kingdom, SE3 0",'+44 20 8858 6971,687fa8577a1d900001dcc46f,54111,,,,,,,,,
Huggins Lewis Foskett Solicitors,Huggins Lewis Foskett Solicitors,22,http://www.hugginslaw.co.uk,London,England,EC2M 4,"5 The Avenue, London, England, United Kingdom, EC2M 4",'+44 20 8989 3000,687fa8577a1d900001dcc46a,54111,,,,,,,,,
ebl miller rosenfalck,ebl miller rosenfalck,23,http://www.ebl-mr.com,London,England,EC1N 8SU,"27 Greville Street, London, England, United Kingdom, EC1N 8SU",'+44 20 7553 9930,687fa8577a1d900001dcc473,54111,,,,,,,,,
5 Essex Chambers,5 Essex Chambers,71,http://www.5essex.co.uk,London,England,WC1R 5EF,"3 Field Court, London, England, United Kingdom, WC1R 5EF",'+44 20 7410 2000,687fa8577a1d900001dcc474,541110,,,,,,,,,
Goldsmith Chambers,Goldsmith Chambers,84,http://www.goldsmithchambers.com,London,England,EC4Y 7BL,"Inner Temple Lane, London, England, United Kingdom, EC4Y 7BL",'+44 20 7353 6802,687fa8577a1d900001dcc50f,54111,,,,,,,,,
Ince & Co. Private Wealth,Ince & Co. Private Wealth,45,http://www.inceco.com,London,England,W1J 5,"21 Curzon Street, London, England, United Kingdom, W1J 5",'+44 20 7481 0010,687fa8577a1d900001dcc512,"541110, 523940",,,,,,,,,
11KBW,11KBW,85,http://www.11kbw.com,London,England,EC4Y 7EQ,"11 Kings Bench Walk, London, England, United Kingdom, EC4Y 7EQ",'+44 20 7632 8500,687fa8577a1d900001dcc510,541110,,,,,,,,,
Arc Pensions Law,Arc Pensions Law,28,http://www.arcpensionslaw.com,London,England,EC2R 5BJ,"80 Coleman Street, London, England, United Kingdom, EC2R 5BJ",'+44 20 7653 8970,687fa8577a1d900001dcc517,541110,,,,,,,,,
Aria Grace Law CIC,Aria Grace Law CIC,42,http://www.aria-grace.com,London,England,W1W 5PF,"167 Great Portland Street, London, England, United Kingdom, W1W 5PF",'+44 20 3737 6441,687fa8577a1d900001dcc501,541110,,,,,,,,,
1 Kings Bench Walk,1 Kings Bench Walk,81,http://www.1kbw.co.uk,London,England,EC4Y 7,"1 Kings Bench Walk, London, England, United Kingdom, EC4Y 7",'+44 20 7936 1500,687fa88164e3b00001964d43,541110,,,,,,,,,
Moss Fallon Solicitors Limited,Moss Fallon Solicitors,29,http://www.mossfallon.com,London,England,W1K 5EH,"84 Brook Street, London, England, United Kingdom, W1K 5EH",'+44 20 3709 7010,687fa88164e3b00001964d30,54111,,,,,,,,,
Levison Meltzer Pigott,Levison Meltzer Pigott,23,http://www.levisonmeltzerpigott.co.uk,London,England,EC4M 7BP,"8 Warwick Lane, London, England, United Kingdom, EC4M 7BP",'+44 20 7556 2400,687fa88164e3b00001964d48,541110,,,,,,,,,
Briffa - Intellectual Property Lawyers,Briffa,38,http://www.briffa.com,London,England,N1 0QH,"52 Upper Street, London, England, United Kingdom, N1 0QH",'+44 20 7288 6003,687fa88164e3b00001964d2c,54111,,,,,,,,,
Punter Southall Law,Punter Southall Law,23,http://www.puntersouthall.law,London,,,"London, United Kingdom",'+44 120 289 8347,687fa88164e3b00001964ddb,541110,Punter Southall (puntersouthall.com),5d09a755f65125714ef2948a,,,,,,,
RCJ Advice,RCJ Advice,27,http://www.rcjadvice.org.uk,London,England,EC4V 4EG,"174 Queen Victoria Street, London, England, United Kingdom, EC4V 4EG",'+44 344 488 9626,687fa8946066d10001f0f670,54111,,,,,,,,,
IGAL : International Group of Accountants and Lawyers,IGAL,21,http://www.igal-network.com,London,England,SE20 7YD,"19 Felmingham Road, London, England, United Kingdom, SE20 7YD",'+44 20 7383 3200,687fa8aecafe940001ecebe9,"54121, 81392",,,,,,,,,
Fox & Partners,Fox,27,http://www.foxlawyers.com,London,England,EC2N 2,"6 Throgmorton Avenue, London, England, United Kingdom, EC2N 2",'+44 780 721 7734,687fa8c62a959f000108ea3e,54111,,,,,,,,,
Moriarty Law,Moriarty Law,29,http://www.moriartylaw.co.uk,London,England,EC1A 7,"15 Old Bailey, London, England, United Kingdom, EC1A 7",'+44 20 3126 4548,687fa8f4d7236b00018ff523,54111,,,,,,,,,
Beverley Morris & Co.,Beverley Morris,25,http://www.beverleymorris.co.uk,London,England,SE3 0TJ,"35 Montpelier Vale, London, England, United Kingdom, SE3 0TJ",'+44 20 8852 4433,687fa8f4d7236b00018ff51d,54111,,,,,,,,,
Reprieve,Reprieve,60,http://www.reprieve.org,London,England,EC4R 1AG,"10 Queen Street Place, London, England, United Kingdom, EC4R 1AG",'+44 20 7553 8140,687fa8f4d7236b00018ff522,"54119, 813990, 541110",,,,,,,,,
Sterling Law,Sterling Law,81,http://www.sterling-law.co.uk,London,England,EC4V 6AL,"8 New Bridge Street, London, England, United Kingdom, EC4V 6AL",'+44 20 7822 8535,687fa8f5d7236b00018ff5a4,,,,,,,,,,
Eldwick Law,Eldwick Law,27,http://www.eldwicklaw.com,London,England,EC1N 8RU,"5 Hatton Place, London, England, United Kingdom, EC1N 8RU",'+44 20 3972 8469,687fa8f5d7236b00018ff5a1,541110,,,,,,,,,
Preston Turnbull LLP,Preston Turnbull,69,http://www.preston-turnbull.com,London,England,EC3N 4AT,"2 Seething Lane, London, England, United Kingdom, EC3N 4AT",'+44 20 7119 1551,687fa8f5d7236b00018ff59b,541110,,,,,,,,,
Founders Law,Founders Law,32,http://www.founders-law.co.uk,London,England,EC4Y 0HA,"1 Temple Avenue, London, England, United Kingdom, EC4Y 0HA",'+44 333 050 9794,687fa8f5d7236b00018ff59e,54111,,,,,,,,,
Arbor Law,Arbor Law,29,http://www.arbor.law,London,England,SW1Y 5ED,"116 Pall Mall, London, England, United Kingdom, SW1Y 5ED",'+44 20 7355 0540,687fa8f5d7236b00018ff5c4,541110,,,,,,,,,
ELSA Queen Mary,ELSA Queen Mary,22,http://www.elsa-uk.org,London,England,E1 4,"Mile End Road, London, England, United Kingdom, E1 4",'+385 1 4829 826,687fa8f5d7236b00018ff59d,71312,,,,,,,,,
Sunrise Solicitors,Sunrise Solicitors,31,http://www.sunrisesolicitors.co.uk,London,England,SW19 1AU,"228 Merton High Street, London, England, United Kingdom, SW19 1AU",'+44 20 8543 0999,687fa9071e8abc00010d5092,54111,,,,,,,,,
Assurety,Assurety,23,http://www.assuretytraining.com,London,England,EC4Y 1,"21 Fleet Street, London, England, United Kingdom, EC4Y 1",'+44 20 7101 0350,687fa9071e8abc00010d50a9,"611430, 541110",,,,,,,,,
SBP Law,SBP Law,36,http://www.sbplaw.co.uk,London,England,EC4V 5EF,"52 Carter Lane, London, England, United Kingdom, EC4V 5EF",'+44 20 7723 1656,687fa9071e8abc00010d508d,,,,,,,,,,
Oliver Fisher Solicitors,Oliver Fisher Solicitors,22,http://www.oliverfisher.co.uk,London,England,W11 3JQ,"33 Notting Hill Gate, London, England, United Kingdom, W11 3JQ",'+44 20 3219 0145,687fa9071e8abc00010d509c,541110,,,,,,,,,
Volterra Fietta,Volterra Fietta,29,http://www.volterrafietta.com,London,England,W1T 3JJ,"8 Mortimer Street, London, England, United Kingdom, W1T 3JJ",'+44 20 7380 3890,687fa9071e8abc00010d5090,54111,,,,,,,,,
LawtechUK,LawtechUK,28,http://www.lawtechuk.io,London,England,N1 7,"17 Wenlock Road, London, England, United Kingdom, N1 7",,687fa9071e8abc00010d511d,54111,,,,,,,,,
United Kingdom & Eire Malaysian Law Students' Union (KPUM),United Kingdom & Eire Malaysian Law Students' Union,93,http://www.kpum.org,London,England,SE5 7TD,"20 Rainbow Street, London, England, United Kingdom, SE5 7TD",'+44 70 6215 4478,687fa9071e8abc00010d513d,"81394, 813410, 611710",,,,,,,,,
Grant & Graham Ltd.,Grant & Graham,29,http://www.grant-graham.co.uk,London,England,W1W 5PF,"167 Great Portland Street, London, England, United Kingdom, W1W 5PF",'+44 20 3318 1032,687fa91db252230011348f11,"541611, 561312",,,,,,,,,
BIRCHAM DYSON BELL NOMINEES LIMITED,BIRCHAM DYSON BELL NOMINEES,47,,London,England,,"London, England, United Kingdom",,687fa91db252230011348f13,,,,,,,,,,
Bishop & Sewell LLP (Monro Wright and Wasbrough),Bishop & Sewell,100,http://www.bishopandsewell.co.uk,London,England,WC1B 4HP,"59 Russell Square, London, England, United Kingdom, WC1B 4HP",'+44 20 7631 4141,695be0f42871e400016c277a,541110,,,,,,,,,
Blackstone Chambers,Blackstone Chambers,96,http://www.blackstonechambers.com,London,England,EC4Y 9BW,"Temple, London, England, United Kingdom, EC4Y 9BW",'+44 20 7822 7322,6970b9b4711c840001d3f6be,541110,,,,,,,,,
Peters & Peters,Peters & Peters,110,http://www.petersandpeters.com,London,England,EC4A 1BW,"15 Fetter Lane, London, England, United Kingdom, EC4A 1BW",'+44 20 7822 7777,697353c6f91d0e0001f195bd,54111,,,,,,,,,
Charles Russell LLP,Charles Russell,130,,London,England,EC4M 7RA,"1 Fleet Place, London, England, United Kingdom, EC4M 7RA",'+44 20 7203 5000,697353c6f91d0e0001f195d4,,,,,,,,,,
Charities at Hunters Law,Charities at Hunters Law,,,London,England,WC2A 3QN,"9 New Square, London, England, United Kingdom, WC2A 3QN",,697353e8f91d0e0001f19bda,,,,,,,,,,
Lee & Thompson LLP,Lee & Thompson,120,http://www.leeandthompson.com,London,England,W1T 4DF,"80 Charlotte Street, London, England, United Kingdom, W1T 4DF",'+44 20 3073 7600,6977723118f44f0001df57c4,541110,,,,,,,,,
Rights of Women,Rights of Women,27,http://www.rightsofwomen.org.uk,London,England,EC1Y 8RT,"52 Featherstone Street, London, England, United Kingdom, EC1Y 8RT",'+44 20 7251 6575,6a425637b2a46200017662af,"813319, 541110",,,,,,,,,
Scissero,Scissero,45,http://www.scissero.com,London,England,E14 5,"1 Canada Square, London, England, United Kingdom, E14 5",'+44 20 3865 1787,6a425637b2a46200017662b0,"541110, 513210",,,,,,,,,
Hayward Moon,Hayward Moon,63,http://www.haywardmoon.co.uk,,England,IP1 1QJ,"159 Princes Street, England, United Kingdom, IP1 1QJ",'+44 147 323 4730,6a425637b2a46200017662b5,"53121, 541110",,,,,,,,,
SuLe,SuLe,22,http://www.sule.io,London,England,,"London, England, United Kingdom",,6a425637b2a46200017662c1,54111,,,,,,,,,
Joint Council for the Welfare of Immigrants,Joint Council for the Welfare of Immigrants,24,http://www.jcwi.org.uk,London,England,N7 9BG,"London, England, United Kingdom, N7 9BG",'+44 20 7251 8708,6a425637b2a46200017662ce,"54119, 813410, 541110",,,,,,,,,
Fusion Consulting Group,Fusion Consulting Group,62,http://www.fcg.co.uk,London,England,N3 3HU,"2 Regents Park Road, London, England, United Kingdom, N3 3HU",'+44 20 3841 7010,6a425637b2a46200017662d3,"541211, 541110, 541611",,,,,,,,,
Laura Devine Immigration,Laura Devine Immigration,59,http://www.lauradevine.com,London,England,EC4N 6,"100 Cannon Street, London, England, United Kingdom, EC4N 6",'+44 20 7469 6460,63be9f9ba5a2b300a3f26502,541110,,,,,,,,,
Reddie & Grose Patent and Trade Mark Attorneys,Reddie & Grose Patent and Trade Mark Attorneys,190,http://www.reddie.co.uk,London,England,E1 7,"10 Whitechapel High Street, London, England, United Kingdom, E1 7",'+44 20 7242 0901,63be9fa46801aa00e526c64e,54133,,,,,,,,,
The Legal Director,The Legal Director,62,http://www.thelegaldirector.co.uk,London,England,EC2V 6,"107 Cheapside, London, England, United Kingdom, EC2V 6",'+44 20 3053 8613,63be9f8ab7fb6f00a37e58ab,541110,,,,,,,,,
Arnold & Siedsma,Arnold & Siedsma,170,http://www.arnold-siedsma.nl,London,England,EC2M 5TR,"57 London Wall, London, England, United Kingdom, EC2M 5TR",'+31 70 365 4833,63d107d7f2b46200a3d99ac1,541110,,,,,,,,,
Peerpoint,Peerpoint,180,http://www.peerpoint.com,London,England,E1 6,"1 Bishops Square, London, England, United Kingdom, E1 6",'+44 20 3088 4109,63f49aa8a2782500a3bbb595,"54111, 561311",Allen & Overy (aoshearman.com),6181ac3c4816fc00a4966d87,,,,,,,
3 Bolt Court Chambers,3 Bolt Court Chambers,24,http://www.3boltcourt.com,London,England,EC4A 3DQ,"3 Bolt Court, London, England, United Kingdom, EC4A 3DQ",'+44 88 8123 4567,645e070bea01160001bba881,541110,,,,,,,,,
Sharpe Pritchard Solicitors & Parliamentary Agents,Sharpe Pritchard Solicitors & Parliamentary Agents,120,http://www.sharpepritchard.co.uk,London,England,WC1X 0,"16 Elm Street, London, England, United Kingdom, WC1X 0",'+44 20 7405 4600,645e0a0dfac35600014d678a,54111,,,,,,,,,
Branch Austin McCormick LLP,Branch Austin McCormick,44,http://www.branchaustinmccormick.com,London,England,SW1A 1HD,"32 St James's Street, London, England, United Kingdom, SW1A 1HD",'+44 20 7851 0100,645e0a497dcbd6000128d4b8,541110,,,,,,,,,
Solomonic,Solomonic,61,http://www.solomonic.co.uk,London,England,EC1N 7,"Holborn, London, England, United Kingdom, EC1N 7",'+44 20 7205 2924,652658a05bf3bb000177f2d5,,,,,,,,,,
Wilton & Bain,Wilton & Bain,86,http://www.wilton-bain.com,London,England,EC3A 8FR,"50 St Mary Axe, London, England, United Kingdom, EC3A 8FR",'+44 20 7621 3570,6526742cd9db0d0001d4599e,561311,,,,,,,,,
North Kensington Law Centre,North Kensington Law Centre,21,http://www.nklc.org.uk,London,England,W11 4,"Whitchurch Road, London, England, United Kingdom, W11 4",020 8969 7473,653f934321729e00011a7be0,"541110, 813410",,,,,,,,,
Keith Carter & Associates,Keith Carter & Associates,22,http://www.keithcarter.co.uk,London,,,"London, United Kingdom",'+44 1258 480822,65dc73a84b09210001bade87,"54169, 541612, 541720",,,,,,,,,
Slingsby Partners LLP,Slingsby,51,http://www.slingsbypartners.com,London,England,SW14 7,"1 Kingsway, London, England, United Kingdom, SW14 7",'+44 20 7420 3900,65e1d3e62aa21d00019d5c8e,541110,,,,,,,,,
Harrison Associates,Harrison Associates,120,http://www.harrison.associates,London,England,UB6 7JD,"14-16 Wadsworth Road, London, England, United Kingdom, UB6 7JD",'+44 20 8998 2992,65f06e99e4abe801c603dadd,"62139, 62199",,,,,,,,,
Peacock & Co Solicitors,Peacock & Co Solicitors,32,http://www.peacock-law.co.uk,London,England,SE20 7EZ,"94 High Street, London, England, United Kingdom, SE20 7EZ",'+44 20 8944 5290,66191e1d7dab340001234e75,541110,,,,,,,,,
Erskine Chambers,Erskine Chambers,41,http://www.erskinechambers.com,London,,,"London, United Kingdom",'+44 20 7242 5532,66191e6fb6f5410001d2dad7,541110,,,,,,,,,
British Medical Experts,British Medical Experts,130,http://www.britishmedicalexperts.com,London,,,"London, United Kingdom",'+44 20 3026 5648,665db3e2988214000166b688,541199,,,,,,,,,
MSP Organisation,MSP Organisation,,http://www.msporganisation.co.uk,London,England,W1W 8,"28 Eastcastle Street, London, England, United Kingdom, W1W 8",'+44 125 273 3683,668e80d843a41b0001089cea,,,,,,,,,,
Field Court Chambers,Field Court Chambers,63,http://www.fieldcourt.co.uk,London,England,WC1R 5EF,"3 Field Court, London, England, United Kingdom, WC1R 5EF",'+44 20 7405 6114,668e80d843a41b0001089cef,54111,,,,,,,,,
MFB Superyacht Lawyers,MFB Superyacht Lawyers,50,,London,England,EC4R 3,"Fishmongers Hall Wharf, London, England, United Kingdom, EC4R 3",,668e80f8843c5e000196ab1e,,,,,,,,,,
Stephens,Stephens,53,http://www.stephens.law,London,,,"London, United Kingdom",'+44 20 7930 2500,668e81109715f80001d94505,54111,,,,,,,,,
Page Group Ltd,Page Group,29,http://www.pagegroupltd.com,London,England,WC2B 5,"41 Parker Street, London, England, United Kingdom, WC2B 5",'+44 20 7930 9200,668e81109715f80001d94520,54169,,,,,,,,,
City Community Legal Advice Centre (CityCLAC),City Community Legal Advice Centre,84,http://www.instantimpress.fun,London,,,"London, United Kingdom",,668e81119715f80001d94561,,,,,,,,,,
QredibleUK,QredibleUK,1,http://www.qredible.co.uk,London,England,WC2B 6NH,"125 Kingsway, London, England, United Kingdom, WC2B 6NH",'+44 20 3641 3408,668e81119715f80001d94567,54111,,,,,,,,,
