Company Name,Website,# Employees,Company City,Couno Status
Keller Postman UK Limited,http://www.kellerpostman.co.uk,,London,New
The Visa Office,http://www.visa-office.com,28.0,London,New
vLex Global Markets,http://www.vlex.com,29.0,London,New
Joelson,http://www.joelsonlaw.com,80.0,London,New
National Legal Service Solicitors,http://www.nationallegalservice.co.uk,130.0,London,New
TV Edwards Solicitors LLP,http://www.tvedwards.com,110.0,London,New
5 Pump Court Chambers,http://www.5pumpcourt.com,54.0,London,Already Worked
Deighton Pierce Glynn Ltd,http://www.dpglaw.co.uk,60.0,London,Already Worked
Alchemmy,http://www.alchemmy.com,74.0,London,New
ICC FraudNet,http://www.iccfraudnet.org,85.0,London,New
CHRISTODOULOS G. VASSILIADES & CO. LLC,http://www.vasslaw.com,33.0,London,New
Coram Children's Legal Centre,http://www.childrenslegalcentre.com,39.0,London,New
Juno,http://www.juno.legal,130.0,London,New
JD Spicer Zeb,http://www.jdspicer.co.uk,43.0,London,New
EWS,http://www.ewswater.com,28.0,London,New
Thompson & Co Solicitors,http://www.thompsonlaw.co.uk,42.0,London,New
Refugee and Migrant Forum of Essex & London (RAMFEL),,,London,New
The Legal,http://www.thelegal.pro,78.0,London,New
STRIVE,http://www.strivetalent.org,27.0,London,New
Carter Lemon Camerons LLP,http://www.cartercamerons.com,42.0,London,New
Riseam Sharples,http://www.riseamsharples.com,46.0,London,Already Worked
FREEMANS SOLICITORS,http://www.freemanssolicitors.net,64.0,London,Already Worked
Hughes Fowler Carruthers,http://www.hfclaw.com,36.0,London,Already Worked
Wilsons Solicitors London,http://www.wilsonllp.co.uk,87.0,London,New
Tanfield Chambers,http://www.tanfieldchambers.co.uk,92.0,London,New
Stann,http://www.stann.com,28.0,London,New
Northman & Sterling,http://www.northmansterling.com,45.0,London,New
The Chartered Institute of Patent Attorneys,http://www.cipa.org.uk,58.0,London,New
Londonium Solicitors,http://www.londoniumsolicitors.co.uk,35.0,London,New
BULLIVANT LAW LIMITED,,63.0,London,New
Royds Llp,,36.0,London,New
Law and Lawyers LTD,http://www.lawandlawyers.co.uk,90.0,London,New
South Westminster Legal Advice Centre,http://www.swlac.org,30.0,London,New
Henderson Chambers,http://www.hendersonchambers.co.uk,76.0,London,New
Gannons,http://www.gannons.co.uk,20.0,London,New
Hamlins LLP,http://www.hamlins.com,110.0,London,Already Worked
Bowling & Co Solicitors,http://www.bowlinglaw.co.uk,50.0,London,New
AK LAW,http://www.ak-law.co.uk,24.0,London,New
Moore SGD Law,http://www.mooresgdlaw.com,29.0,London,New
Monckton Chambers,http://www.monckton.com,93.0,London,New
4 King’s Bench Walk (4KBW),http://www.4kbw.co.uk,53.0,London,New
Dawson Cornwell,http://www.dawsoncornwell.com,68.0,London,New
Northridge,http://www.northridgelaw.com,53.0,London,Already Worked
CANDEY,http://www.candey.com,50.0,London,Already Worked
Bond Solon Training,http://www.bondsolon.com,61.0,London,New
Radiant Law,http://www.radiantlaw.com,74.0,London,New
IK-IP Ltd,http://www.ik-ip.com,21.0,London,New
Legis Chambers,http://www.legischambers.com,26.0,London,New
Protopapas LLP,http://www.protopapas.co.uk,22.0,London,New
Lamb Building,http://www.lambbuilding.co.uk,62.0,London,New
Westkin Associates,http://www.westkinassociates.com,35.0,London,Already Worked
S. A. J Legal,http://www.saj.legal,22.0,London,New
Heirloom Fair Legal,http://www.heirloomfairlegal.com,24.0,London,New
Tatham & Co,http://www.tathamlaw.com,22.0,London,New
"EBR ATTRIDGE LLP | One of the Largest Expert Criminal Defence Lawyers in London, South-East & Essex",http://www.ebrattridge.com,47.0,London,New
Leadenhall Law Group,http://www.leadenhalllawgroup.co.uk,57.0,London,Already Worked
Old Bailey Solicitors,http://www.oblaw.co.uk,32.0,London,New
YVA Solicitors,http://www.yvasolicitors.com,35.0,London,New
Queen Mary Law Society,http://www.queenmarylawsociety.com,35.0,London,New
Reviewed & Cleared,http://www.reviewedandcleared.com,32.0,London,New
SEO London Corporate Law,,56.0,London,New
Leasehold Advisory Service (LEASE),http://www.lease-advice.org,47.0,London,New
Nexus Legal Recruitment,http://www.nexuslegalrecruitment.com,25.0,London,New
aosphere,http://www.aosphere.com,90.0,London,New
Prettys,http://www.prettys.co.uk,80.0,,New
Old Square Chambers,http://www.oldsquare.co.uk,78.0,London,New
Birkett Long,http://www.birkettlong.co.uk,73.0,,New
Wallace LLP,http://www.wallace.co.uk,130.0,London,New
Three Crowns LLP,http://www.threecrownsllp.com,170.0,London,New
Quadrant Chambers,http://www.quadrantchambers.com,140.0,London,New
Private Client Systems,http://www.privateclientsystems.co.uk,120.0,Harlow,New
Ackroyd Legal,http://www.ackroydlegal.com,160.0,London,New
Sheltons Group,http://www.sheltonsgroup.com,50.0,London,New
The Honourable Society of the Middle Temple,http://www.middletemple.org.uk,100.0,London,New
Crypto Legal,http://www.cryptolegal.it,200.0,London,New
Release,http://www.release.org.uk,66.0,London,New
"Queensbury: Legal Services, Project Management & Business Advisory Support",http://www.thequeensburygroup.com,26.0,London,New
Clintons,http://www.clintons.co.uk,130.0,London,New
Serle Court,http://www.serlecourt.co.uk,91.0,London,New
Outer Temple Chambers,http://www.outertemple.com,150.0,London,New
Simkins,http://www.simkins.com,89.0,London,New
Konexo,,190.0,London,New
"County - Enforcement, Security & Technical Protester Removal Specialists",http://www.countyuk.com,28.0,London,New
Sackers,http://www.sackers.com,100.0,London,New
RIAA Barker Gillette (UK) LLP,,43.0,London,New
Brandsmiths,http://www.brandsmiths.co.uk,58.0,London,Already Worked
RightHub,http://www.righthub.com,51.0,London,New
Beck Greener LLP,http://www.beckgreener.com,52.0,London,Already Worked
Charles Lyndon,http://www.charleslyndon.com,21.0,London,New
LSESU Law Society,http://www.lsesulawsoc.com,27.0,London,New
MTG SOLICITORS,http://www.mtgsolicitors.com,38.0,London,New
MAPS Medical,http://www.maps-medical.co.uk,39.0,London,New
Bishopsgate Law,http://www.bishopsgatelaw.com,200.0,London,New
Anexsys Ltd,http://www.anexsys.com,26.0,London,New
Lamb Chambers,http://www.lambchambers.co.uk,68.0,London,New
Beck Fitzgerald,http://www.beckfitzgerald.co.uk,31.0,London,New
Rocket Lawyer UK,http://www.rocketlawyer.co.uk,17.0,London,New
Scott-Moncrieff & Associates Ltd,http://www.scomo.com,55.0,London,New
W H Matthews & Co Solicitors,http://www.whmatthews.com,23.0,London,New
Legend Solicitors,http://www.legendsolicitors.org,31.0,London,New
Marlin Hawk,http://www.marlinhawk.com,53.0,London,New
Farewill,http://www.farewill.com,48.0,London,New
The Burnside Partnership,http://www.theburnsidepartnership.com,30.0,London,New
"De Pinna LLP, Notaries",http://www.depinna.com,69.0,London,Already Worked
WorkPermitCloud Ltd.,http://www.workpermitcloud.co.uk,33.0,London,New
amicable divorce,http://www.amicable.io,75.0,London,New
7 King's Bench Walk,http://www.7kbw.co.uk,92.0,London,New
Portner Law Limited,http://www.portner.co.uk,24.0,London,New
Creighton & Partners,http://www.creighton.co.uk,43.0,London,New
Devereux Chambers,,,London,New
Curzon Green Solicitors,http://www.curzongreen.co.uk,38.0,London,New
Mary Ward Legal Centre,http://www.marywardlegal.org.uk,23.0,London,New
ILFA,http://www.ilfaafrica.com,29.0,London,New
JPA International Legal Services,http://www.jpalegal.com,35.0,London,New
AllAboutLaw,,,London,New
Great James Street Chambers,http://www.greatjames.co.uk,47.0,London,New
Crucible,http://www.crucible.law,31.0,London,New
Combar - The Commercial Bar Association,http://www.combar.com,60.0,London,New
Freedom Law Clinic,http://www.freedomlawclinic.org,31.0,London,New
FinLegal,http://www.finlegal.io,37.0,London,New
Vyman Solicitors,http://www.vyman.co.uk,51.0,London,New
Fentons Solicitors LLP,,32.0,London,New
DKLM LLP,http://www.dklm.co.uk,61.0,London,New
5 St Andrew's Hill,http://www.5sah.co.uk,98.0,London,New
Saville & Co. Scrivener Notaries,http://www.savillenotaries.com,27.0,London,New
Accutrainee Limited,http://www.accutrainee.com,20.0,London,Already Worked
Coram Chambers,http://www.coramchambers.co.uk,97.0,London,New
Legal Business Minds,http://www.legalbusinessminds.com,4.0,London,New
Lewis Nedas Law,http://www.lewisnedas.co.uk,56.0,London,Already Worked
Jaffa & Co,http://www.jaffa-co.com,23.0,London,New
Level,http://www.level.law,62.0,London,Already Worked
DL,http://www.dascanioleshi.com,31.0,London,New
Prospect Law,http://www.prospectlaw.co.uk,26.0,London,New
Enyo Law LLP,http://www.enyolaw.com,82.0,London,New
Zaiwalla & Co,http://www.zaiwalla.co.uk,21.0,London,New
Humphries Kerstetter LLP,http://www.humphrieskerstetter.com,25.0,London,New
Town Legal LLP,http://www.townlegal.com,66.0,London,New
Memery Crystal,http://www.memerycrystal.com,37.0,London,New
Masters Legal Costs Services LLP,http://www.masters-legal.co.uk,39.0,London,New
JFH Law,http://www.jfhlaw.co.uk,23.0,London,New
Manches - see Penningtons Manches LLP,http://www.penningtons.co.uk,69.0,London,New
3 Hare Court Chambers,http://www.3harecourt.com,63.0,London,New
Albertson Solicitors,http://www.albertson.law,17.0,London,New
Ten Old Square,http://www.tenoldsquare.com,33.0,London,New
Cloisters Chambers,http://www.cloisters.com,83.0,London,New
5RB,http://www.5rb.com,53.0,London,New
Konexo Legal Resourcing,http://www.konexoglobal.com,40.0,London,New
Harcus Parker Limited,http://www.harcusparker.co.uk,41.0,London,New
8 New Square Intellectual Property,http://www.8newsquare.co.uk,30.0,London,New
MORGAN HAS SOLICITORS LTD,http://www.morganhassolicitors.co.uk,36.0,London,New
Stuart Miller Solicitors,http://www.stuartmillersolicitors.co.uk,56.0,London,Already Worked
محمد ابوشنب,,37.0,London,New
LawFirms,http://www.lawfirms.co.uk,20.0,London,New
Burlingtons,http://www.burlingtons.group,44.0,London,Already Worked
Farrar's Building,http://www.farrarsbuilding.co.uk,77.0,London,New
"Athenian Sea Carriers, Ltd.",,34.0,London,New
Bellevue Law,http://www.bellevuelaw.co.uk,34.0,London,New
Magrath Sheldrick LLP,http://www.magrath.co.uk,64.0,London,New
LegalEdge,http://www.legaledge.co.uk,71.0,London,Already Worked
Cleveland Scott York,http://www.csy-ip.com,45.0,London,New
Constantine Law,http://www.constantinelaw.co.uk,37.0,London,New
Reiss Edwards,http://www.reissedwards.co.uk,23.0,London,New
One Essex Court,http://www.oeclaw.co.uk,140.0,London,New
Littleton Chambers,http://www.littletonchambers.com,110.0,London,New
Landmark Chambers,http://www.landmarkchambers.co.uk,130.0,London,New
Brick Court Chambers,http://www.brickcourt.co.uk,140.0,London,New
Nicholsons Solicitors LLP,http://www.nicholsonslaw.com,40.0,Lowestoft,New
Templar Consultants,http://www.templarconsultants.com,42.0,London,New
